first,last,lid,tid
Kyle,Korver,404,ATL
Josh,Smith,704,ATL
Mike,Scott,312,ATL
Luol,Deng,214,CHI
Macro,Belinelli,713,CHI
Nate,Robinson,305,CHI
Emeka,Okafor,321,WAS
Jan,Vesly,602,WAS
Jason,Collins,503,WAS
Omer,Asik,318,HOU
Toney,Douglas,360,HOU
Patrick,Patterson,843,HOU
LeBron,James,202,MIA
Chris,Bosh,310,MIA
Shane,Battier,228,MIA
Jeff,Taylor,650,CHA
Matt,Carroll,917,CHA
Ramon,Sessions,210,CHA
Pau,Gasol,502,LAL
Jodie,Meeks,928,LAL
Robert,Sacre,207,LAL
Ish,Smith,515,ORL
Doron,Lamb,315,ORL
DeQuan,Jones,304,ORL
Luis,Scola,619,PHX
Shannon,Brown,971,PHX
Jermaine,O'Neal,609,PHX
Eddy,Curry,816,DAL
Vince,Carter,307,DAL
Justin,Dentmon,213,DAL
